Source,Target,Type,Id,Label,timeset,Weight,d11,d10,d9,d8,d7,d6,d5,d4,d3,d2,d1,d0
854462257,2108744629,Undirected,29,,,1,,,,,"LINESTRING (55.989398 30.4130118, 55.9894518 30.4130585, 55.9894863 30.4131172, 55.989498 30.4131822, 55.9894859 30.4132472, 55.9894512 30.4133058)",roundabout,,36.588,secondary,میدان شهیدان حسینی,True,1001988293
854462257,1473522318,Undirected,30,,,1,,,,,"LINESTRING (55.9890285 30.4131002, 55.9890666 30.4130463, 55.9891216 30.4130046, 55.9891884 30.4129788, 55.9892611 30.4129712, 55.9893331 30.4129826, 55.989398 30.4130118)",roundabout,,42.123999999999995,secondary,میدان شهیدان حسینی,True,1001988293
4451035203,4451035204,Undirected,2367,,,1,,,,30,,,,117.298,residential,,False,448048850
2108744629,5899906140,Undirected,1462,,,1,,,,,"LINESTRING (55.9902838 30.4135958, 55.9897417 30.4133702, 55.9894512 30.4133058)",,,86.483,tertiary,خیابان تختی,False,682357958
2108744629,2108744631,Undirected,1463,,,1,,,,,"LINESTRING (55.9894512 30.4133058, 55.9893841 30.413358, 55.9893155 30.4133856, 55.9892443 30.4133923, 55.989174 30.4133809, 55.9891104 30.4133524)",roundabout,,36.525999999999996,secondary,میدان شهیدان حسینی,True,1001988293
1473522318,2108744608,Undirected,582,,,1,,,,30,,,,36.569,tertiary,عدالت,False,200911221
1473522318,2108744631,Undirected,583,,,1,,,,,"LINESTRING (55.9891104 30.4133524, 55.9890533 30.4133022, 55.9890185 30.4132386, 55.9890099 30.4131687, 55.9890285 30.4131002)",roundabout,,31.278,secondary,میدان شهیدان حسینی,True,1001988293
1473522318,2108744633,Undirected,584,,,1,,,,,,,,38.337,secondary,بلوار مصطفی خمینی,True,133915970
854462258,4633372802,Undirected,31,,,1,,,,,,,,40.649,tertiary,خیابان حافظ,False,133915996
854462258,4633372804,Undirected,32,,,1,,,,,,,,40.97,tertiary,خیابان تختی,False,682357958
854462258,5899906138,Undirected,33,,,1,,,,,,,,112.679,tertiary,خیابان تختی,False,682357958
854462258,7296623804,Undirected,34,,,1,,,,,"LINESTRING (55.9921808 30.4163792, 55.9919302 30.414626, 55.9918777 30.414259)",,,237.541,tertiary,خیابان حافظ,False,133915996
4633372802,5899906108,Undirected,5228,,,1,,,,,,,,24.803,tertiary,خیابان حافظ,False,133915996
4633372802,4633372804,Undirected,5229,,,1,,,,,"LINESTRING (55.9914929 30.4140989, 55.9916247 30.4140612, 55.991738 30.413992, 55.9918162 30.4138973)",,,39.557,tertiary_link,,True,468868025
